Name,Number of titles in library
"Norton, Andre",28
"Norton, Andre & Edghill, Rosemary ",1
"Norton, Andre & McConchie, Lyn",1
"Norton, Mary",2
"Nourse, Alan E.",7
"Novik, Naomi",5
"O'Brien, Flann",1
"O'Brien, Robert C.",1
"O'Donnell, Kevin",1
"O'Neill, Joseph",1
"Offutt, Andrew J.",3
"Olander, Joseph D. & Greenberg, Martin Harry",1
"Oliver, Chad",2
"Oltion, Jerry",3
"Ore, Rebecca",1
"Orwell, George",1
"Ottum, Bob",1
"Pachter, Josh",1
"Packard, Edward",1
"Page, Thomas",2
"Palahniuk, Chuck",1
"Palmer, Jane",1
"Pangborn, Edgar",6
"Panshin, Alexei",5
"Panshin, Alexei & Panshin, Cory",1
"Pape, Richard",1
"Pargeter, Edith",1
"Parry, Michel",2
"Parry, Michel & Subotsky, Milton ",1
"Parry, Michel (ed.)",1
"Paul, Barbara",1
"Paull, Laline",1
"Paxson, Diana L.",2
"Peake, Mervyn",7
"Pedler, Kit",2
"Peel, John",1
"Peirce, Hayford",2
"Perry, Steve",2
"Perry, Steve & Perry, Stephani",1
"Petaja, Emil",1
"Peters, L. T.",1
"Petrie, Doug",1
"Phillips, Julie",1
"Pickersgill, Frederick (ed.)",1
"Pierce, Tamora",4
"Piper, H. Beam",10
"Pirinçci, Akif",1
"Plante, Richard La",1
"Platt, Charles",8
"Plunkett, Edward, Lord Dunsany",8
"Poe, Edgar Allan",3
"Poe, Edgar Allan & Verne, Jules",1
"Pohl, Frederik",39
"Pohl, Frederik & Del Rey, Lester ",1
"Pohl, Frederik & Kornbluth, C. M.",4
"Pohl, Frederik & Thomas, Thomas T.",1
"Pournelle, Jerry",13
"Pournelle, Jerry & Carr, John F. ",1
"Pournelle, Jerry & Green, Roland",1
"Pournelle, Jerry & Stirling, S. M.",1
"Powers, Tim",14
"Pratchett, Terry",49
"Pratchett, Terry and Baxter, Stephen",1
"Pratchett, Terry; Stewart, Ian; Cohen, Jack S.",2
"Pratt, Fletcher",1
"Pratt, Fletcher ",2
"Pratt, Fletcher & De Camp, L. Sprague",1
"Price, E. Hoffmann",1
"Priest, Christopher",11
"Pringle, David",2
"Pringle, David (ed.)",1
"Pryce, Malcolm",3
"Pullman, Philip",2
"Pynchon, Thomas",1
"Quick, William T",1
"Rackham, John",2
"Rajaniemi, Hannu",1
"Randall, Robert",3
"Rankin, Robert",9
"Rankine, John",7
"Ransome, Arthur",1
"Ranzetta, V.",1
"Raphael, Rick",2
"Ratcliff, Ruth",1
"Rathbone, Wendy & Schuster, Hal",1
"Rawn, Melanie",1
"Rawson, Clayton",1
"Ray, Robert",3
"Rayner, Claire",2
"Rayner, Jacqueline ",1
"Reade, Quinn",1
"Reamy, Tom",1
"Reaves, Michael",2
"Reed, David V.",1
"Reed, Kit",1
"Reed, Robert",3
"Reeve, Philip",2
"Reeves-Stevens, Garfield",1
"Reeves-Stevens, Garfield & Reeves-Stevens, Judith",1
"Reichert, Mickey Zucker",4
"Renault, Mary",1
"Resnick, Michael D.",6
"Resnick, Micheal D. (ed.)",1
"Reynolds, Alastair",9
"Reynolds, David West",2
"Reynolds, Mack",8
"Rhinehart, Luke",2
"Rhodan, Perry",1
"Rhys, Jack",1
"Rice, Anne",4
"Richards, Justin",2
"Richmond, Walt & Richmond, Leigh",1
"Roberson, Jennifer",1
"Roberts, Adam",4
"Roberts, Keith",11
"Roberts, Lionel",2
"Robinson, Frank M.",1
"Robinson, Kim Stanley",8
"Robinson, Philip Bedford",1
"Robinson, Spider",4
"Robinson, Spider & Robinson, Jeanne",1
"Robson, Justina",1
"Rohan, Michael Scott",5
"Rome, David",1
"Rosenberg, Joel",2
"Rosney-Aîné, J. H.",1
"Ross, Joseph (ed.)",1
"Rothfuss, Patrick",3
"Rottensteiner, Franz",1
"Rowley, Christopher",4
"Rowling, J. K.",6
"Rucker, Rudolf v. B.",1
"Rucker, Rudy",6
"Rusch, Kristine Kathryn",2
"Rushdie, Salman",1
"Russ, Joanna",5
"Russell, Alan K. (ed.)",1
"Russell, Eric Frank",12
"Russell, Gary",1
"Russell, Ken",1
"Russell, Ray",1
"Russo, Richard Paul",2
"Ryan, Charles C. (ed.)",1
"Ryan, Thomas J",1
"Ryman, Geoff",2
"Saberhagen, Fred",20
"Sackett, Susan",1
"Sagan, Carl",1
"Saha, Arthur W.",1
Saki,1
"Salvatore, R. A.",1
"Sambrot, William",1
"Sanderson, Brandon",3
"Sanderson, Ivan T.",3
"Santesson, Hans Stefan",2
"Sapir, Richard & Murphy, Warren",1
Sarban,1
"Sargent, Pamela",1
"Sargent, Pamela & Zebrowski, George ",1
"Sargent, Pamela (ed.)",2
"Savage, Felicity",2
"Savory, Gerald",1
"Sawyer, Robert J.",1
"Sawyer, W.W.",1
"Saxon, Richard",3
"Saxton, Josephine",2
"Schaffner, Franklin J.",1
"Scheer, Karl-Herbert & Mahr, Kurt",3
"Schmitz, James H.",6
"Scithers, George H. & Schweitzer, Darrell (eds.)",1
"Scortia, Thomas N.",2
"Scott, Jody",1
"Scott, Melissa and Barnett, Lisa A.",1
"Sellings, Arthur",5
"Sharee, Keith",1
"Shatner, William",5
"Shatner, William; Reeves-Stevens, Judith & Reeves-Stevens, Garfield",1
"Shaw, Bob",28
"Shaw, Larry T. (ed.)",1
"Shea, Michael",1
"Shea, Robert",1
"Shea, Robert ",1
"Shea, Robert & Wilson, Robert Anton",2
"Sheckley, Robert",26
"Sheffield, Charles",8
"Shelley, Mary",1
"Shepard, Leslie (ed.)",1
"Shepard, Lucius",2
"Sherwood, Martin",1
"Shiel, M.P.",1
"Shiner, Lewis",1
"Shippey, T. A.",1
"Shiras, Wilmar H.",1
"Shirley, John",2
"Shirley, Robert",1
"Shusterman, Neal",1
"Shute, Nevil",2
"Shwartz, Susan",1
"Sibley, Brian",2
"Silverberg, Robert",69
"Simak, Clifford",1
"Simak, Clifford D.",38
"Simmonds, Hugh",1
"Simmons, Dan",3
"Singer, Kurt (ed.)",1
"Siodmak, Curt",3
"Sissons, Michael (ed.)",1
"Sky, Kathleen",1
"Sladek, John",8
"Sleator, William",1
"Sloane, William",1
"Smeds, Dave",1
"Smith, Clark Ashton",6
"Smith, Cordelia Titcomb (ed.)",1
"Smith, Cordwainer",8
"Smith, Dean Wesley",1
"Smith, Dean Wesley & Rusch, Kristine Kathryn",3
"Smith, E. E.",22
"Smith, E.E. & Goldin, Stephen",3
"Smith, George H.",5
"Smith, George Oliver",1
"Smith, Gus",1
"Smith, L. Neil",2
"Smith, Michael Marshall",2
"Smith, Robert A.",1
"Snodgrass, Melinda",1
"Sohl, Jerry",3
"Somers, Bart",2
"Sonnenfeld, Barry",1
"Sosna, Sharon",1
"Southern, Terry",1
"Speed, Donald (ed.)",1
"Spinrad, Norman",17
"Springer, Nancy",1
"St. Clair, Margaret",1
"Stableford, Brian M.",20
"Stanton, Mary",2
"Stapledon, Olaf",7
"Stasheff, Christopher",3
"Staton, Mary",1
"Steele, Allen M.",1
"Stephenson, Andrew M.",1
"Stephenson, Neal",8
"Stephenson, Neal & George, Frederick ",1
"Sterling, Bruce",4
"Stern, Philip Van Doren (ed.)",1
"Stevens, Francis",1
"Stevenson, Robert Louis",1
"Stewart, Bruce",1
"Stewart, Fred Mustard",1
"Stewart, George R.",1
"Stewart, Mary",6
"Stewart, Sean",1
"Stirling, S. M.",1
"Stoker, Bram",3
"Stoker, Bram & Haining, Peter",1
"Stone, Brian",1
"Stone, Dave",1
"Stover, Leon Eugene  & Harrison, Harry Max",1
"Straub, Peter",1
"Strick, Philip",1
"Strieber, Whitley",1
"Strieber, Whitley & Kunetka, James W. ",1
"Stross, Charles",4
"Strugatsky, Arkady",1
"Strugatsky, Arkady & Strugatsky, Boris",2
"Strutton, Bill",1
"Sturgatsky, Arkady & Sturgatsky, Boris",1
"Sturgeon, Theodore",18
"Sullivan, Tim",1
"Sullivan, Tricia",1
"Summers, Montague",1
"Sutcliff, Rosemary",1
"Sutton, Jeff",2
"Swainston, Steph",5
"Swann, Ingo",1
"Swann, Thomas Burnett",5
"Swanwick, Michael",4
"Swift, J",1
"Szilard, Leo",1
"Taine, John",2
"Takahashi, Rumiko",4
"Tarr, Judith",2
"Taylor, Andrew",1
"Taylor, G. Rattray",1
"Taylor, Jeri",1
"Taylor, Roger",1
"Tedford, William",1
"Temple, William F.",2
"Tenn, William",8
"Tenn, William and van Arnam, Dave",1
"Tennyson, Alfred & Cecil, David (ed.)",1
"Tepper, Sheri S.",14
"Tevis, Walter S.",3
"Theroux, Paul",1
"Thomas, Craig",3
"Thomas, D. M.",1
"Thomas, Theodore L. & Wilhelm, Kate",1
"Thomas, Thomas T. & Zelazny, Roger",1
"Thompson, Ernest Victor",1
"Thompson, Paul B.",1
"Thompson, W. R.",2
"Thurber, James",2
"Tilley, Patrick",7
"Tiptree, James Jr.",8
"Tolkien, J. R. R.",9
"Tolkien, J. R. R. ",1
"Toolis, Lorna & Skeet, Michael (eds.)",1
"Torro, Pel",4
"Townsend, W.",1
"Tralins, Robert",1
"Tregillis, Ian",3
Trevanian,1
"Trevor, Elleston",1
"Trimble, Louis",1
"Trout, Kilgore",1
"Tubb, E. C.",17
"Tucker, Mike & Perry, Robert ",1
"Tucker, Wilson",8
"Turtledove, Harry",10
"Tweed, Thomas F.",1
"Tyler, J. E. A.",1
"Underwood, Tim & Miller, Chuck",1
Unknown author(s) of Beowulf,1
"Vallejo, Doris",1
"Van Greenaway, Peter",1
"Van Hise, Della",1
"Van Loden, Erle",1
"Van Lusbader, Eric",1
"Vance, Jack",43
"VanderMeer, Jeff",3
"Vardeman, Robert E.",5
"Vardeman, Robert E. & Milan, Victor ",1
"Varley, John",10
"Velikovsky, Immanuel",1
"Vercors [Bruller, Jean]",1
"Verne, Jules",8
"Vernes, Henry",1
"Verseau, Dominique",1
"Viereck, George Sylvester & Eldridge, Paul",1
"Vincent, Harl",1
"Vinge, Joan D.",4
"Vinge, Vernor",12
"Visiak, E. H.",1
"Vonnegut, Kurt Jr.",14
"Vornholt, John",7
W. W.,2
"Wadey, Victor",1
"Wagner, Karl Edward",2
"Wahloo, Peter",1
"Waldrop, Howard",1
"Wallace, F. L.",1
"Wallman, Jeffrey M.",1
"Walters, Hugh",3
"Walters, Nick",1
"Walton, Evangeline",4
"Wangerin Jr., Walter",1
"Ward, Henry",2
"Warner, Sylvia Townsend",1
"Warrington, Freda",3
"Water, Silas",1
"Waterfield, Robin",1
"Watkins, William Jon",2
"Watson, Ian",29
"Watson, Ian (Ed.)",1
"Watt-Evans, Lawrence",2
"Wayne, Hammond",1
"Weaver, Michael",1
"Webb, Forrest",1
"Webber, Collin",1
"Weber, David",4
"Wedgelock, Colin",1
"Weinbaum, Stanley G.",3
"Weinberg, Robert E.",2
"Weiner, Ellis",2
"Weinstein, Howard",7
"Weir, Andy",1
"Weis, Margaret",5
"Weis, Margaret & Hickman, Tracy",9
"Weis, Margaret & Hickman, Tracy (eds.)",1
"Weiss, Bobbi J. G. & Weiss, David Cody",1
"Wellard, James",1
"Wells, Angus",1
"Wells, Barry",1
"Wells, H. G.",19
"Wells, Robert",3
"West, Wallace",1
"Westall, Robert",1
"Weston, Peter",1
"Weston, Peter etc.",1
"Wheatley, Dennis",7
"Whitaker, David",1
"Whitborn, John",1
"White, James",22
"White, Jon Ewbank Manchip",1
"White, T. H.",2
"Whyte, Jack",1
"Wilgus, Neal",1
"Wilhelm, Kate",12
"Willeford, Charles",1
"Williams, Paul O.",2
"Williams, Robert Moore",4
"Williams, Tad",6
"Williams, Walter Jon",11
"Williams-Ellis, Amabel",1
"Williams-Ellis, Amabel (ed.)",2
"Williamson, Jack",10
"Williamson, Jack & Pohl,  Frederik ",2
"Williamson, Jack & Pohl, Frederik",1
"Williamson, Michael Z.",1
"Williamson, Philip",1
"Willis, Brian (ed.)",1
"Willis, Connie",7
"Willis, Connie & Felice, Cynthia",2
"Wilson, Colin",3
"Wilson, Richard",4
"Wilson, Robert Anton",5
"Wilson, Robin Scott (ed.)",1
"Windling, Terri (ed.)",2
"Wingrove, David",5
"Winterbotham, Russ",3
"Wise, Robert",1
"Wolfe, Bernard",1
"Wolfe, Gene",24
"Wollheim, Donald A. (ed.)",5
"Wood, N. Lee",2
"Woodhouse, Martin",1
"Wright, Austin Tappan",1
"Wright, John C.",3
"Wright, Lan",5
"Wright, S. Fowler",2
"Wright, Susan",1
"Wu, Ch'eng-en",1
"Wurts, Janny",8
"Wyatt, Patrick",1
"Wylie, Jonathan",1
"Wyndham, John",9
"Wyndham, John & Beynon, John ",2
"Yarbro, Chelsea Quinn",3
"Yates, Alan",1
"Yeovil, Jack",1
"Yep, Laurence",1
"Young, Roger Flint",3
"Yu, Chrles",1
"Zahn, Timothy",4
"Zamyatin, Yevgeny",1
"Zebrowski, George",3
"Zeigfreid, Karl",2
"Zelazny, Robert & Thomas, Thomas T.",1
"Zelazny, Roger",50
"Zelazny, Roger & Lindskold, Jane M.",1
"Zelazny, Roger & Saberhagen, Fred",1
"Zelazny, Roger & Saberhagen, Fred ",1
"Zerwick, Chloe",1
"Zetford, Tully",3
"Zettel, Sarah",1
"Zindell, David",3
"Zool, M. H.",1
"de Bergerac, Cyrano",1
"de Camp, L. Sprague",30
"de Camp, L. Sprague & Carter, Lin",1
"de Camp, L. Sprague and Pratt, Fletcher",1
"de Lint, Charles",2
"de Times, Graeme",1
"deFord, Miriam Allen",1
"del Rey, Judy-Lynn",1
"del Rey, Lester",10
"le Guin, Ursula K.",4
"van Lustbader, Eric",2
"van Scyoc, Sydney J.",3
"van Thal, Herbert",1
"van Thal, Herbert (ed.)",2
"van Vogt, A. E.",42
"van Vogt, A. E. & Hull, E. Mayne",3
