Name,Number of titles in library
"Clancy, Tom",1
"Clark, Simon",1
"Clarke, A. G. C.",1
"Clarke, Arthur C.",37
"Clarke, Arthur C. & Benford, Gregory",1
"Clarke, Arthur C. & Lee, Gentry",2
"Clarke, Arthur C. (ed.)",1
"Clarke, Joan",1
"Clarke, Susanna",1
"Clayton, Jo",1
"Clemens, James",2
"Clement, Hal",14
"Clifton, Mark",2
"Clowes, Carolyn",1
"Clute, John",6
"Clute, John & Grant, John (eds.)",2
"Clute, John & Nicholls, Peter (eds.)",3
"Coblentz, Stanton A.",1
"Cobley, Michael",1
"Cockayne, Steve",1
"Cogswell, Theodore R.",2
"Cogswell, Theodore R. & Spano Jr., Charles A.",1
"Cohen, Larry",1
"Cole, Stephen (ed.)",1
"Colfer, Eoin",2
"Collier, John",1
"Collier, Leona",1
"Collier, Michael",1
"Collins, Hunt",1
"Collins, Suzanne",3
"Colvin, James",1
"Compton, D. G.",7
"Coney, Michael G.",9
"Conklin, Groff",12
"Conner, Michael",1
"Conner, Mike",1
"Constantine, Storm",4
"Cook, Hugh",1
"Cook, Robin",4
"Cooke, Catherine",1
"Coonts, Stephen",1
"Cooper, Edmund",19
"Cooper, Louise",1
"Cooper, Sonni",1
"Cooper, Susan",1
"Coppel, Alfred",1
"Corey, James S. A.",1
"Corey, Lee",2
"Cornell, Paul",3
"Cornwell, Bernard",1
"Corran, Mary",2
"Corston, George",1
"Coulson, Juanita",3
"Counselman, Mary Elizabeth",1
"Courtney, Vincent",1
"Cover, Arthur Byron",1
"Cowper, Richard",11
"Cox, Greg",3
"Craig, Brian",1
"Cramer, John",1
"Crandall, Melissa",1
"Creasey, John",3
"Cresswell, Helen",1
"Crews, Frederick C.",1
"Crichton, Michael",6
"Crispin, A. C.",4
"Crispin, Edmund",7
"Cross, John Keir",1
"Crossley-Holland, Kevin",3
"Crowley, John",5
"Crowther, Peter",1
"Cullen, Seamus",1
"Cummings, Ray",3
"Cunningham, Elaine",1
"Cunningham, Jere",1
"Curtis, Jean-Louis",1
"Cussler, Clive",2
"Dahl, Roald",1
"Daley, Brian",4
"Dalkey, Kara",2
"Danforth, Mildred",1
"Danielewski, Mark Z.",1
Dante,3
"Darlton, Clark",6
"Darlton, Clark ",1
"Datlow, Ellen",1
"Daventry, Leonard",2
"David, Graham",1
"David, Peter",18
"Davidson, Avram",17
"Davies, L.P.",5
"Davis, Brian",1
"Davis, Gerry",4
"Davis, Richard",1
"Davison, Al",2
"Day, David",1
"De Camp, L. Sprague ",1
"De Camp, L. Sprague & Carter, Lin",1
