Transit to Scorpio,"Akers, Alan Burt (psd. H. Kenneth Bulmer)",1972,860078027,Main Collection,,-,-,,AKER1/1-1,Dray Prescott 1,,AKER1,1,1,,,A,,y,y,y,y,y,y,y
Swordships of Scorpio,"Akers, Alan Burt (psd. H. Kenneth Bulmer)",1973,860078361,Main Collection,,-,-,,AKER1/1-4,Dray Prescott 4,,AKER1,1,4,,,A,,y,y,y,y,y,y,y
The Suns of Scorpio,"Akers, Alan Burt (psd. H. Kenneth Bulmer)",1973,860078159,Main Collection,,-,-,,AKER1/1-2,Dray Prescott 2,,AKER1,1,2,,,A,,y,y,y,y,y,y,y
Catharsis Central,"Alban, Anthony",1968,234771896,Main Collection,,[??],-,,ALBA1/1,-,,ALBA1,1,,,,A,,y,y,y,y,y,y,y
"Space, Time and Nathaniel","Aldiss, Brian W.",1957,9.78059E+12,Main Collection,,-,-,,ALDI1/2,-,,ALDI1,2,,,,A,,y,y,y,y,y,y,y
Non-Stop,"Aldiss, Brian W.",1958,330246380,Main Collection,,-,-,,ALDI1/3,-,,ALDI1,3,,,,A,,y,y,y,y,y,y,y
The Canopy of Time,"Aldiss, Brian W.",1959,?,Main Collection,,-,-,,ALDI1/4,-,,ALDI1,4,,,,A,,y,y,y,y,-,y,y
Galaxies Like Grains of Sand,"Aldiss, Brian W.",1960,?,Main Collection,,-,-,,ALDI1/7,-,,ALDI1,7,,,,A,,y,y,y,y,-,y,y
The Primal Urge,"Aldiss, Brian W.",1961,?,Main Collection,,-,-,,ALDI1/8,-,,ALDI1,8,,,,A,,y,y,y,y,-,y,y
Hothouse,"Aldiss, Brian W.",1962,722111037,Main Collection,,-,-,,ALDI1/11,-,,ALDI1,11,,,,A,,y,y,y,y,y,y,y
The Airs of Earth,"Aldiss, Brian W.",1963,?,Main Collection,,-,-,,ALDI1/12,-,,ALDI1,12,,,,A,,y,y,y,y,-,y,y
Starswarm,"Aldiss, Brian W.",1964,9.78058E+12,Main Collection,,-,-,,ALDI1/15,-,,ALDI1,15,,,,A,,y,y,y,y,y,y,y
The Dark Light Years,"Aldiss, Brian W.",1964,?,Main Collection,,-,-,,ALDI1/14,-,,ALDI1,14,,,,A,,y,y,y,y,-,y,y
Greybeard,"Aldiss, Brian W.",1964,?,Main Collection,,-,-,,ALDI1/13,-,,ALDI1,13,,,,A,,y,y,y,y,-,y,y
The Saliva Tree,"Aldiss, Brian W.",1966,?,Main Collection,,-,-,,ALDI1/17,-,,ALDI1,17,,,,A,,y,y,y,y,-,y,y
An Age,"Aldiss, Brian W.",1967,?,Main Collection,,-,-,,ALDI1/18a,-,,ALDI1,18,,a,,A,,y,y,y,y,-,y,y
Cryptozoic,"Aldiss, Brian W.",1967,9.78059E+12,Main Collection,,-,-,,ALDI1/18b,-,,ALDI1,18,,b,,A,,y,y,y,y,y,y,y
Report on Probability A,"Aldiss, Brian W.",1968,722111010,Main Collection,,-,-,,ALDI1/19,-,,ALDI1,19,,,,A,,y,y,y,y,y,y,y
"Intangibles Inc., and Other Stories","Aldiss, Brian W.",1969,552100447,Main Collection,,-,-,,ALDI1/21,-,,ALDI1,21,,,,A,,y,y,y,y,y,y,y
"A Brian Aldiss Omnibus, Volume 1","Aldiss, Brian W.",1969,283980524,Main Collection,,-,-,,ALDI1/20.5,-,,ALDI1,21,,,,A,,y,y,y,y,y,y,y
Barefoot in the Head,"Aldiss, Brian W.",1969,586049886,Main Collection,,-,-,,ALDI1/20,-,,ALDI1,20,,,,A,,y,y,y,y,y,y,y
The Hand-Reared Boy,"Aldiss, Brian W.",1970,552086517,Main Collection,,-,-,,ALDI1/24,-,,ALDI1,24,,,,A,,y,y,y,y,y,y,y
Neanderthal Planet,"Aldiss, Brian W.",1970,?,Main Collection,,-,-,,ALDI1/23,-,,ALDI1,23,,,,A,,y,y,y,y,-,y,y
