More Short Trips: A Collection of Short Stories,"Cole, Stephen (ed.)",1999,9780563555650,Tie-In Novels,,-,-,,t/COLE1/,,COLE1,,,,C,,,,,,y,,,,,
The Longest Day,"Collier, Michael",1998,9780563405818,Tie-In Novels,,-,-,,t/COLL3/,,COLL3,,,,C,,,,,,y,,,,,
Black Fire,"Cooper, Sonni",1983,0671836323,Tie-In Novels,,-,-,,t/COOP3/,,COOP3,,,,C,,,,,,y,,,,,
ABODE OF LIFE: STAR TREK #6,"Corey, Lee",1989,0671705962,Tie-In Novels,,-,-,,t/CORE2/,,CORE2,,,,C,,,,,,y,,,,,
The Shadows of Avalon,"Cornell, Paul",2000,9780563555889,Tie-In Novels,,-,-,,t/CORN1/,,CORN1,,,,C,,,,,,y,,,,,
Assignment: Eternity,"Cox, Greg",1998,0671001175,Tie-In Novels,,-,-,,t/COX1/,,COX1,,,,C,,,,,,y,,,,,
Q-Strike: The Q Continuum #3,"Cox, Greg",1999,0671019228,Tie-In Novels,,-,-,,t/COX1/,,COX1,,,,C,,,,,,y,,,,,
Q-Zone: The Q Continuum #2,"Cox, Greg",1999,067101921X,Tie-In Novels,,-,-,,t/COX1/,,COX1,,,,C,,,,,,y,,,,,
Shell Game,"Crandall, Melissa",1993,9781852864590,Tie-In Novels,,-,-,,t/CRAN1/,,CRAN1,,,,C,,,,,,y,,,,,
Yesterday Son,"Crispin, A. C.",1985,067160550X,Tie-In Novels,,-,-,,t/CRIS1/,,CRIS1,,,,C,,,,,,y,,,,,
Time for Yesterday,"Crispin, A. C.",1988,0671700944,Tie-In Novels,,-,-,,t/CRIS1/,,CRIS1,,,,C,,,,,,y,,,,,
Sarek,"Crispin, A. C.",1995,9780671795627,Tie-In Novels,,-,-,,t/CRIS1/,,CRIS1,,,,C,,,,,,y,,,,,
The Eyes of the Beholders,"Crispin, A. C.",1990,9781852863197,Tie-In Novels,,-,-,,t/CRIS1/,,CRIS1,,,,C,,,,,,y,,,,,
